# Constructed from biom file
#OTU ID	MB1	IM2	MM2	MB2	NEB1	IB2	NEM2	IM1	MM1	NEM1	NLB1	IB1	NLB2	NEE2	NLM2	IE2	NLM1	NLE2	IE1	NEB2	NLE1	ME2	ME1	NEE1
0f2f4b8891b1f24c8bb5698ec6fe921358d55600	117.0	275.0	28.0	123.0	57.0	210.0	43.0	180.0	52.0	94.0	50.0	124.0	81.0	31.0	80.0	20.0	28.0	15.0	19.0	89.0	8.0	13.0	12.0	33.0
a3b11f106460edc243c2d14554a6049e652eec74	16.0	22.0	5.0	21.0	72.0	12.0	23.0	13.0	1.0	27.0	12.0	7.0	19.0	89.0	12.0	4.0	5.0	29.0	1.0	90.0	23.0	8.0	5.0	95.0
4eddcd305ad04b61c27b8dd5fc0d7f98d49a7f96	3.0	1.0	0.0	6.0	8.0	8.0	0.0	11.0	1.0	2.0	2.0	3.0	2.0	26.0	1.0	55.0	3.0	29.0	15.0	4.0	21.0	34.0	33.0	49.0
0cb94adb2dd5ba6120e2683fcb3040f4add50515	8.0	1.0	1.0	7.0	110.0	2.0	25.0	2.0	2.0	25.0	13.0	4.0	6.0	168.0	2.0	0.0	2.0	8.0	1.0	94.0	18.0	4.0	2.0	257.0
d6c75183a76efa661e639b801173fbc35bdd89f3	24.0	86.0	7.0	39.0	73.0	35.0	48.0	93.0	21.0	77.0	42.0	26.0	47.0	163.0	51.0	49.0	30.0	76.0	19.0	40.0	82.0	39.0	40.0	182.0
73cd3a1979ce8d2c4442b343156eaba7dd77961c	5.0	34.0	0.0	2.0	6.0	31.0	8.0	30.0	10.0	23.0	44.0	127.0	102.0	2.0	96.0	1.0	21.0	4.0	3.0	9.0	0.0	0.0	0.0	0.0
1e76ea359adc9f1777126c841426ded3b6f89654	93.0	77.0	17.0	91.0	72.0	93.0	8.0	63.0	19.0	24.0	66.0	67.0	71.0	55.0	39.0	41.0	16.0	55.0	11.0	68.0	24.0	42.0	28.0	59.0
0bbb476e2f3242843684268bd64bdec70ef642bd	21.0	21.0	3.0	38.0	12.0	22.0	0.0	12.0	15.0	7.0	33.0	12.0	23.0	9.0	22.0	9.0	7.0	15.0	4.0	10.0	12.0	18.0	21.0	7.0
12f3021c565d43a1339dfe6d40ab95ecfad0e658	3.0	3.0	3.0	6.0	17.0	2.0	0.0	3.0	1.0	5.0	9.0	2.0	4.0	75.0	3.0	60.0	0.0	100.0	23.0	5.0	77.0	77.0	29.0	40.0
f9fa2463dce8e26e23ed7f3c3ee1d7ebd3f67017	36.0	4.0	255.0	12.0	3.0	3.0	30.0	1.0	9.0	37.0	2.0	3.0	1.0	4.0	10.0	6.0	14.0	3.0	3.0	2.0	4.0	3.0	7.0	22.0
